cvss,exposure,asset_criticality,service_type_encoded,exploitability,attack_path_position,historical_incidents,confidence,priority_class,scenario
7.54,15.5,2.58,3.0,8.76,10.0,8,47.0,3,A
9.57,19.41,5.23,0.0,7.99,10.0,3,35.5,3,A
7.94,13.59,4.6,1.0,7.97,6.0,2,8.5,2,A
7.56,16.67,1.01,1.0,8.09,6.0,1,48.9,2,A
9.64,15.44,2.83,2.0,8.45,0.0,14,93.1,3,A
7.28,12.57,3.15,0.0,9.98,0.0,13,57.3,2,A
8.25,3.23,8.49,2.0,8.45,6.0,8,73.1,3,A
9.59,11.47,4.45,0.0,7.83,6.0,4,53.3,3,A
9.6,15.97,3.4,3.0,8.34,6.0,15,74.0,3,A
9.94,11.49,5.89,4.0,7.72,6.0,6,35.6,3,A
8.16,15.74,1.39,1.0,8.99,10.0,12,72.0,3,A
9.62,10.41,1.33,3.0,8.32,10.0,3,61.1,3,A
8.41,1.29,2.3,1.0,9.91,6.0,2,97.1,2,A
9.86,8.55,1.72,3.0,8.88,6.0,12,69.1,3,A
9.24,1.68,1.62,1.0,8.3,0.0,7,92.5,2,A
7.14,14.37,1.9,0.0,9.39,6.0,0,33.4,2,A
7.51,9.18,3.2,2.0,7.24,6.0,5,69.8,2,A
8.38,5.58,9.22,5.0,9.0,6.0,8,48.8,3,A
8.92,13.87,2.42,2.0,8.27,6.0,9,37.8,3,A
8.72,6.74,9.99,1.0,8.72,10.0,12,15.1,3,A
9.73,19.58,6.92,2.0,9.24,6.0,1,58.8,3,A
9.03,5.37,8.22,1.0,9.16,10.0,8,23.1,3,A
7.1,3.6,1.87,4.0,8.09,0.0,14,8.7,2,A
8.59,6.61,7.73,4.0,9.74,0.0,11,17.6,0,A
9.41,16.67,5.34,0.0,8.4,0.0,10,75.9,3,A
7.27,19.36,8.74,3.0,8.18,6.0,11,98.1,3,A
7.33,9.64,7.06,2.0,7.7,0.0,11,60.5,2,A
9.73,18.92,3.95,4.0,7.91,6.0,14,66.5,3,A
9.66,1.86,1.33,4.0,7.41,6.0,7,16.0,2,A
9.66,19.04,7.27,3.0,8.96,6.0,4,60.8,3,A
9.85,18.84,3.52,1.0,9.57,0.0,14,25.6,3,A
7.57,7.98,9.12,2.0,7.37,6.0,8,10.8,2,A
7.73,5.03,6.76,0.0,7.38,10.0,10,9.8,2,A
7.99,16.77,5.99,1.0,7.44,10.0,7,82.2,3,A
7.33,17.31,2.3,1.0,9.6,0.0,5,28.8,2,A
7.38,16.01,3.14,0.0,8.26,0.0,1,21.6,2,A
9.84,10.05,8.0,3.0,7.13,10.0,7,15.4,3,A
8.28,9.7,9.68,1.0,7.32,10.0,12,50.5,3,A
8.87,2.4,1.73,0.0,8.76,10.0,8,11.2,2,A
9.38,19.9,5.78,1.0,7.34,10.0,3,62.5,3,A
8.24,15.61,7.49,4.0,9.48,6.0,7,47.9,3,A
9.06,2.81,4.84,3.0,8.42,0.0,4,40.6,2,A
8.76,2.77,1.87,5.0,8.68,6.0,1,82.1,2,A
9.91,8.81,8.86,5.0,8.8,6.0,1,45.2,3,A
9.54,10.64,2.39,4.0,8.1,6.0,11,85.5,3,A
8.83,16.34,8.61,0.0,8.97,10.0,0,82.8,3,A
7.54,4.43,7.32,1.0,7.43,10.0,0,37.3,2,A
8.13,3.7,6.7,0.0,8.36,0.0,6,75.9,2,A
7.47,14.71,7.99,0.0,9.26,0.0,1,13.1,0,A
7.65,6.17,6.96,0.0,8.54,6.0,8,47.0,2,A
7.66,6.38,7.11,0.0,9.95,0.0,1,68.4,2,A
7.36,6.73,2.9,0.0,8.49,6.0,10,29.3,2,A
7.22,8.22,7.33,5.0,9.59,0.0,11,84.2,2,A
9.13,9.74,1.7,2.0,8.25,0.0,12,45.8,2,A
7.26,19.36,2.55,0.0,9.53,0.0,11,48.7,0,A
8.0,8.61,1.71,0.0,7.5,10.0,7,75.9,2,A
7.71,11.08,2.75,1.0,7.44,0.0,4,38.4,2,A
8.39,3.9,7.83,0.0,8.69,10.0,15,95.4,3,A
7.45,18.56,6.08,2.0,7.2,6.0,10,64.3,3,A
8.36,16.13,6.32,4.0,7.17,6.0,14,12.0,3,A
8.74,17.42,8.7,1.0,9.86,10.0,14,53.2,3,A
8.5,9.54,8.29,3.0,9.87,6.0,15,35.5,3,A
7.12,18.08,4.09,3.0,9.12,6.0,5,52.9,3,A
9.04,12.59,4.28,0.0,7.16,10.0,10,41.8,3,A
8.0,2.25,1.85,2.0,8.75,0.0,4,32.0,2,A
7.93,6.89,6.9,3.0,8.13,6.0,2,17.3,2,A
8.94,13.73,8.46,4.0,8.27,6.0,2,70.1,3,A
7.68,6.87,9.56,4.0,7.41,0.0,6,77.8,2,A
8.99,15.97,5.57,1.0,9.63,10.0,1,75.2,3,A
9.16,8.16,2.46,5.0,7.13,6.0,5,78.3,3,A
7.7,5.51,5.0,2.0,7.72,6.0,14,76.1,2,A
9.33,4.69,7.1,0.0,8.51,6.0,9,46.9,3,A
9.62,16.52,8.21,4.0,8.66,0.0,15,28.8,3,A
9.72,10.8,2.12,0.0,7.44,6.0,14,20.2,3,A
7.16,18.3,8.35,5.0,8.51,0.0,13,93.4,3,A
9.37,2.55,3.02,4.0,7.41,6.0,10,14.4,2,A
9.72,9.98,8.48,3.0,7.06,0.0,0,49.6,3,A
7.71,11.43,7.55,4.0,7.37,0.0,9,15.6,2,A
8.9,16.08,5.11,5.0,8.73,10.0,0,91.0,3,A
8.57,9.16,6.53,3.0,8.08,10.0,2,44.6,3,A
8.91,15.94,5.57,2.0,9.94,6.0,1,88.0,3,A
9.31,7.78,1.61,2.0,9.21,6.0,3,67.4,0,A
9.94,7.69,4.05,2.0,8.44,0.0,14,83.9,3,A
9.37,2.2,7.99,3.0,9.66,6.0,1,32.9,3,A
7.86,10.79,9.9,1.0,9.59,0.0,6,29.1,3,A
9.68,7.31,2.12,5.0,8.16,0.0,14,89.5,0,A
7.24,10.45,9.32,3.0,8.81,0.0,13,81.1,3,A
7.5,7.1,1.72,4.0,8.33,6.0,13,34.1,2,A
7.23,17.53,4.17,1.0,8.91,6.0,1,31.1,0,A
7.1,15.25,2.44,5.0,7.2,10.0,14,85.6,0,A
8.12,8.27,6.11,0.0,9.29,10.0,11,69.5,3,A
9.21,7.97,3.83,2.0,8.5,6.0,0,96.2,3,A
9.08,3.24,7.97,0.0,10.0,0.0,9,25.4,0,A
9.43,17.2,5.07,3.0,9.9,6.0,2,47.3,3,A
9.14,14.48,5.95,0.0,9.78,10.0,5,33.5,3,A
9.37,7.87,3.02,0.0,7.08,10.0,7,80.2,3,A
7.93,9.88,9.85,4.0,10.0,10.0,2,89.0,3,A
8.93,8.81,4.68,2.0,8.35,10.0,10,16.9,3,A
8.3,3.44,8.46,2.0,9.73,0.0,4,60.8,2,A
8.04,10.84,3.74,3.0,9.82,6.0,7,93.8,3,A
8.84,5.76,6.72,0.0,7.28,10.0,9,16.9,3,A
9.53,18.89,2.39,5.0,8.69,0.0,10,73.5,3,A
8.85,19.02,7.94,1.0,7.09,10.0,13,25.0,3,A
7.89,13.2,3.72,5.0,7.22,0.0,12,81.7,2,A
9.2,8.9,5.18,2.0,9.58,6.0,10,18.6,3,A
8.35,8.04,6.05,3.0,7.42,0.0,8,49.3,2,A
9.44,8.3,6.54,5.0,9.8,10.0,5,87.2,3,A
8.49,15.5,5.48,0.0,7.27,6.0,9,52.4,3,A
8.79,19.37,2.94,1.0,9.53,10.0,15,9.8,3,A
9.29,11.2,8.62,4.0,8.1,6.0,11,88.8,3,A
9.29,11.67,4.26,5.0,7.84,10.0,14,41.7,3,A
8.67,3.26,9.78,3.0,8.1,0.0,10,80.5,3,A
9.41,10.67,5.5,3.0,8.56,0.0,10,18.0,3,A
8.78,10.79,3.95,3.0,8.52,10.0,9,20.4,3,A
9.94,14.47,3.7,3.0,8.75,10.0,3,40.0,3,A
9.16,12.96,6.37,1.0,8.75,0.0,7,67.3,3,A
7.09,14.7,7.97,2.0,9.84,0.0,7,83.1,3,A
9.62,9.38,4.77,1.0,9.21,0.0,15,24.4,3,A
7.94,10.85,6.05,5.0,7.52,10.0,12,50.4,3,A
8.83,7.73,7.95,5.0,7.58,0.0,8,66.1,3,A
9.07,6.67,9.47,5.0,8.47,6.0,6,78.3,3,A
9.69,18.74,8.16,3.0,8.18,6.0,12,16.6,3,A
9.77,16.29,3.61,4.0,8.97,10.0,11,72.8,3,A
7.33,4.84,5.85,5.0,9.22,0.0,4,71.1,2,A
7.99,13.73,5.78,0.0,8.42,10.0,13,10.0,3,A
8.43,1.1,5.95,2.0,7.6,6.0,15,43.7,2,A
9.74,13.27,9.17,3.0,7.53,0.0,1,59.5,3,A
9.63,1.69,8.53,2.0,7.03,10.0,9,22.7,3,A
9.67,18.64,4.02,2.0,7.4,10.0,15,65.9,3,A
9.16,4.66,2.01,1.0,7.04,6.0,8,48.6,2,A
9.48,11.79,7.82,5.0,8.55,0.0,12,86.3,3,A
7.78,2.81,9.84,2.0,7.71,6.0,0,93.9,2,A
7.19,6.74,7.51,0.0,7.35,6.0,7,67.1,2,A
8.92,14.04,9.31,1.0,9.82,6.0,3,78.1,3,A
8.25,5.16,2.2,3.0,8.65,6.0,11,76.0,2,A
8.58,16.24,8.43,5.0,8.58,6.0,2,69.6,3,A
7.49,11.72,1.56,1.0,9.56,6.0,4,53.0,2,A
8.36,4.9,6.25,4.0,8.54,6.0,1,53.5,2,A
9.45,11.62,7.05,1.0,9.24,10.0,8,7.1,3,A
9.96,9.05,7.3,2.0,8.42,6.0,2,10.7,3,A
8.12,15.61,7.89,0.0,9.67,6.0,13,66.4,3,A
8.96,18.23,4.38,3.0,8.04,0.0,4,67.9,3,A
9.94,8.47,2.15,0.0,8.39,10.0,0,84.3,3,A
7.57,11.11,8.41,0.0,9.63,0.0,8,37.9,3,A
7.62,13.54,6.53,1.0,7.3,0.0,7,89.5,3,A
7.7,13.77,8.85,5.0,7.65,0.0,14,9.2,3,A
7.71,19.88,3.11,1.0,9.63,10.0,10,59.7,3,A
8.88,8.86,3.48,1.0,8.28,6.0,5,61.2,3,A
8.22,7.54,6.79,2.0,7.9,0.0,13,54.8,2,A
9.74,10.0,8.64,0.0,8.69,6.0,14,72.2,3,A
9.54,3.55,3.19,3.0,7.28,10.0,14,66.4,3,A
7.56,1.98,4.39,1.0,9.29,10.0,2,8.8,2,A
7.64,5.12,2.88,4.0,7.57,10.0,0,33.8,2,A
8.19,19.99,5.31,0.0,7.72,6.0,6,62.4,3,A
8.4,8.23,5.8,5.0,9.41,10.0,15,29.8,3,A
9.22,16.95,9.23,5.0,7.05,10.0,7,44.3,3,A
8.71,12.0,4.76,2.0,7.74,10.0,12,36.3,3,A
8.38,14.01,3.32,3.0,9.2,6.0,15,96.8,3,A
8.57,14.69,5.39,5.0,9.52,0.0,1,56.5,3,A
7.2,13.7,7.88,5.0,7.45,0.0,7,85.0,3,A
8.98,8.09,6.56,3.0,7.05,10.0,15,63.6,3,A
8.51,1.23,5.76,0.0,9.09,6.0,0,97.9,2,A
8.86,18.29,1.96,5.0,7.76,6.0,6,19.1,3,A
7.9,8.54,4.36,0.0,9.48,0.0,7,58.7,2,A
7.17,17.31,7.84,3.0,7.03,0.0,15,41.0,3,A
9.68,17.06,6.8,4.0,9.76,0.0,3,97.8,3,A
9.05,17.49,8.99,4.0,7.84,10.0,2,9.4,3,A
9.26,1.63,9.36,4.0,9.14,6.0,4,96.3,3,A
8.15,6.69,6.08,1.0,9.22,10.0,10,85.7,3,A
8.02,10.52,9.77,1.0,9.31,10.0,2,46.5,3,A
7.68,15.7,1.27,1.0,8.66,6.0,15,99.3,3,A
9.14,13.91,6.95,0.0,7.25,0.0,7,63.8,3,A
7.02,15.89,2.39,4.0,7.92,6.0,2,39.3,2,A
7.31,2.94,1.79,2.0,7.27,10.0,13,57.9,2,A
9.34,12.36,3.92,1.0,9.17,10.0,12,32.7,3,A
7.81,19.59,6.15,4.0,7.81,0.0,4,41.2,3,A
9.83,9.26,4.79,4.0,9.16,6.0,8,12.3,3,A
9.52,4.72,1.96,0.0,8.14,6.0,10,95.1,0,A
7.96,9.18,8.41,0.0,9.84,0.0,9,61.5,3,A
9.9,4.38,4.58,2.0,9.35,6.0,15,74.8,3,A
9.05,16.51,4.54,1.0,8.65,10.0,5,58.6,3,A
9.02,14.46,4.95,0.0,7.42,6.0,13,70.8,3,A
8.75,13.51,7.44,5.0,8.6,10.0,15,12.0,3,A
7.33,1.7,9.72,5.0,7.74,10.0,2,82.2,2,A
9.9,13.29,1.4,4.0,7.99,6.0,12,69.4,3,A
8.34,2.87,3.0,5.0,8.17,10.0,7,58.0,2,A
9.76,10.51,4.1,1.0,7.26,10.0,13,14.9,3,A
7.29,6.93,5.1,2.0,9.17,6.0,15,50.9,2,A
9.03,6.71,8.29,0.0,7.49,10.0,3,85.7,3,A
9.39,4.31,2.44,2.0,8.89,0.0,7,96.1,2,A
8.17,9.21,1.26,2.0,9.11,0.0,13,23.7,2,A
8.1,14.37,8.16,5.0,7.59,0.0,5,81.0,3,A
8.76,17.39,5.75,4.0,8.04,6.0,12,61.7,3,A
9.02,16.46,7.35,5.0,7.94,0.0,2,63.4,3,A
8.72,4.48,7.24,0.0,8.27,6.0,4,44.7,3,A
7.87,14.18,6.81,3.0,7.56,6.0,15,57.7,3,A
9.89,17.44,9.57,3.0,8.52,6.0,12,23.5,3,A
9.39,10.34,7.39,5.0,7.66,0.0,0,20.9,3,A
8.65,11.21,2.51,1.0,7.34,0.0,15,75.5,2,A
8.64,11.32,9.92,3.0,9.97,0.0,14,76.9,3,A
8.05,13.42,3.23,2.0,9.45,6.0,8,8.1,0,A
9.58,3.23,8.31,2.0,8.83,6.0,11,75.1,3,A
8.6,3.65,2.86,4.0,8.79,0.0,11,10.6,2,A
7.41,14.38,3.6,2.0,9.25,6.0,3,86.5,3,A
7.44,19.86,8.8,2.0,7.97,0.0,7,87.3,3,A
8.13,13.85,5.41,1.0,7.23,0.0,13,30.5,0,A
7.98,15.25,7.25,2.0,7.01,10.0,15,48.2,3,A
7.65,19.47,6.71,0.0,8.29,0.0,12,85.8,3,A
9.36,7.13,3.55,5.0,9.68,0.0,15,17.4,2,A
8.32,12.9,8.53,1.0,7.0,6.0,5,93.3,3,A
7.28,14.08,2.19,5.0,8.08,0.0,8,20.1,2,A
8.29,18.17,2.49,0.0,7.27,0.0,7,34.0,0,A
7.02,10.06,2.19,3.0,8.03,0.0,0,69.6,2,A
7.31,9.02,2.19,2.0,8.1,6.0,3,41.4,2,A
7.21,15.7,7.78,0.0,8.69,10.0,4,99.3,3,A
8.85,9.36,7.5,0.0,8.33,0.0,13,19.4,3,A
7.94,2.91,7.77,1.0,7.42,6.0,13,41.5,2,A
9.54,5.72,6.41,3.0,8.98,6.0,0,32.1,3,A
8.48,12.53,2.7,5.0,7.34,6.0,7,66.4,3,A
7.4,2.35,9.0,5.0,9.58,10.0,10,39.3,2,A
7.05,11.38,2.55,2.0,7.2,6.0,2,98.8,2,A
8.27,18.53,9.54,1.0,8.21,10.0,13,32.2,3,A
9.92,12.7,3.5,0.0,7.47,6.0,6,53.6,3,A
9.19,13.05,8.51,0.0,9.54,0.0,13,11.3,3,A
7.36,18.57,2.04,1.0,9.12,10.0,5,10.2,3,A
7.5,10.43,4.12,2.0,7.38,6.0,8,83.1,2,A
7.79,3.24,9.1,0.0,9.93,10.0,2,45.8,3,A
7.47,9.65,4.24,0.0,9.32,10.0,11,58.9,0,A
7.73,3.19,7.67,4.0,8.42,6.0,0,86.6,2,A
7.67,4.4,9.64,2.0,7.74,10.0,13,81.3,3,A
7.54,16.69,6.14,2.0,9.41,0.0,1,69.0,3,A
7.26,2.31,5.19,1.0,8.37,6.0,10,85.3,2,A
9.99,11.71,3.74,2.0,9.33,10.0,15,49.1,3,A
8.62,15.45,3.21,4.0,8.91,10.0,7,44.0,3,A
7.31,19.07,1.01,4.0,8.59,0.0,9,85.7,2,A
9.76,19.26,9.75,0.0,9.69,10.0,1,31.6,4,A
8.91,18.02,5.13,4.0,8.18,10.0,4,60.2,3,A
9.78,9.26,9.68,4.0,8.18,10.0,10,29.8,3,A
7.47,9.6,3.1,2.0,7.49,6.0,3,17.9,2,A
7.8,3.29,4.22,2.0,7.36,0.0,14,47.9,2,A
7.44,6.78,7.34,0.0,9.13,6.0,10,25.4,2,A
9.56,1.93,3.69,0.0,8.67,10.0,12,21.5,2,A
7.39,9.78,8.24,3.0,9.47,6.0,7,6.1,3,A
7.07,18.81,1.76,1.0,7.19,10.0,2,92.2,3,A
9.83,3.45,9.15,1.0,7.15,10.0,1,36.5,3,A
7.64,14.76,5.47,2.0,7.56,6.0,11,45.5,3,A
8.24,3.82,6.53,2.0,8.65,0.0,15,66.5,2,A
8.89,8.28,4.77,2.0,9.41,0.0,7,80.7,3,A
8.17,15.86,4.23,0.0,7.54,6.0,10,51.0,3,A
8.59,1.56,8.3,3.0,9.3,0.0,15,81.8,2,A
9.29,2.9,6.91,5.0,9.84,10.0,1,82.5,3,A
7.71,16.15,4.19,4.0,7.95,10.0,5,85.3,3,A
8.69,18.37,1.25,3.0,7.56,6.0,4,95.0,3,A
8.58,4.34,1.34,3.0,7.0,10.0,0,62.2,2,A
7.18,3.48,7.45,2.0,7.44,10.0,10,85.2,2,A
9.11,15.71,8.62,4.0,8.99,10.0,11,96.3,3,A
8.95,6.73,2.23,0.0,7.52,10.0,15,95.1,3,A
8.14,18.65,8.08,3.0,9.2,6.0,5,61.0,3,A
7.55,14.85,9.54,4.0,7.95,10.0,1,42.2,3,A
8.04,11.75,9.43,2.0,7.96,10.0,7,75.8,3,A
7.03,2.69,7.38,3.0,7.63,10.0,14,89.2,2,A
9.91,5.88,1.97,0.0,9.65,6.0,13,41.7,3,A
7.49,7.67,4.38,1.0,7.22,0.0,7,79.9,2,A
7.48,7.06,9.56,0.0,7.23,0.0,12,21.2,2,A
8.82,19.72,9.04,1.0,8.3,0.0,5,46.0,3,A
8.98,4.91,2.71,5.0,7.89,0.0,8,73.6,2,A
7.26,11.86,8.56,5.0,9.47,10.0,13,39.3,3,A
8.42,4.79,1.23,3.0,7.35,6.0,2,32.7,2,A
9.66,18.0,3.39,3.0,8.11,6.0,11,41.8,3,A
9.26,9.36,3.37,0.0,9.0,0.0,4,58.6,0,A
9.52,16.36,4.73,3.0,9.46,6.0,1,26.6,3,A
7.24,14.05,9.43,3.0,9.71,10.0,9,27.4,3,A
7.36,11.85,5.65,3.0,9.27,0.0,4,98.4,2,A
9.96,4.18,2.91,3.0,8.31,10.0,2,9.1,0,A
8.16,12.31,3.88,2.0,8.19,6.0,2,81.7,3,A
7.34,10.87,9.25,0.0,7.45,10.0,13,71.5,3,A
9.36,15.41,9.46,4.0,9.6,6.0,3,58.5,3,A
7.83,6.02,6.89,3.0,7.43,10.0,5,49.9,0,A
9.24,8.63,4.56,4.0,9.76,6.0,1,70.6,3,A
9.92,16.53,3.73,4.0,7.68,6.0,3,51.7,3,A
7.56,9.42,8.43,3.0,7.63,6.0,2,44.6,0,A
7.2,15.43,8.8,1.0,9.13,6.0,5,54.0,3,A
9.51,17.17,8.91,1.0,7.75,6.0,6,23.3,3,A
8.91,7.85,2.79,0.0,7.37,0.0,12,49.1,2,A
8.03,10.29,5.01,3.0,9.51,6.0,11,50.1,3,A
9.57,14.09,3.57,4.0,8.94,10.0,6,20.5,3,A
8.42,13.38,5.62,2.0,7.4,0.0,0,96.9,3,A
8.27,1.16,3.27,0.0,8.13,6.0,8,34.0,2,A
7.02,5.15,3.72,3.0,10.0,6.0,3,64.2,2,A
9.97,12.28,3.54,2.0,8.92,6.0,10,50.8,3,A
9.7,14.51,9.03,3.0,9.42,10.0,7,19.2,3,A
7.78,7.07,2.26,4.0,8.26,6.0,9,52.3,2,A
9.06,12.08,9.95,4.0,8.91,6.0,7,37.6,3,A
7.88,13.77,5.57,5.0,8.41,10.0,5,84.9,3,A
8.96,16.36,7.87,0.0,7.67,0.0,10,69.6,3,A
8.39,6.83,8.09,0.0,7.35,0.0,9,29.8,2,A
9.6,12.09,9.5,3.0,8.15,6.0,3,89.5,3,A
7.43,17.55,2.36,5.0,9.59,0.0,14,37.6,2,A
8.36,10.26,6.68,1.0,7.63,0.0,0,65.3,2,A
8.9,4.01,8.07,2.0,8.21,6.0,13,17.3,3,A
9.27,1.72,2.79,0.0,8.59,0.0,10,6.3,2,A
7.31,12.91,3.24,5.0,8.51,6.0,4,37.7,2,A
8.3,16.65,3.68,0.0,9.06,0.0,10,74.1,3,A
7.06,18.13,4.23,5.0,7.67,0.0,12,95.1,0,A
8.13,1.42,5.54,0.0,8.92,10.0,1,72.6,2,A
9.07,12.28,1.43,3.0,8.25,6.0,1,84.4,3,A
7.9,5.8,7.32,1.0,8.98,10.0,0,70.1,3,A
7.85,12.83,7.31,5.0,9.35,6.0,3,90.4,3,A
7.89,4.8,3.37,4.0,7.12,6.0,13,24.2,2,A
9.72,14.08,5.33,1.0,9.51,10.0,2,6.2,3,A
8.93,19.04,8.02,0.0,8.37,6.0,8,73.7,3,A
9.4,1.95,8.32,4.0,7.94,10.0,11,86.0,3,A
7.99,17.17,9.01,2.0,9.68,10.0,5,18.1,3,A
9.89,14.93,4.35,2.0,7.82,6.0,12,15.8,3,A
9.09,10.09,4.8,1.0,7.18,0.0,4,20.8,2,A
9.34,18.31,5.34,4.0,8.83,10.0,12,46.6,3,A
8.32,14.82,9.03,3.0,7.19,10.0,13,51.4,3,A
9.93,14.39,7.1,3.0,9.01,6.0,7,59.8,3,A
8.04,14.08,6.56,3.0,9.03,6.0,15,74.0,3,A
8.52,16.7,9.03,3.0,8.41,6.0,5,6.1,3,A
8.52,2.42,5.42,4.0,8.65,6.0,1,97.2,2,A
8.34,5.46,5.13,2.0,7.36,6.0,15,47.6,2,A
9.38,1.34,4.63,3.0,9.89,10.0,2,57.2,3,A
9.48,10.66,2.86,5.0,9.45,6.0,11,95.3,3,A
